state,candidate,popular_votes,electoral_votes
Alabama,Donald Trump,1434159,9
Alaska,Donald Trump,179080,3
Arizona,Joe Biden,1671491,11
Arkansas,Donald Trump,758183,6
California,Joe Biden,10734181,55
Colorado,Joe Biden,1803419,9
Connecticut,Joe Biden,1079174,7
Delaware,Joe Biden,296268,3
District of Columbia,Joe Biden,285728,3
Florida,Donald Trump,5667474,29
Georgia,Joe Biden,2472182,16
Hawaii,Joe Biden,366070,4
Idaho,Donald Trump,554128,4
Illinois,Joe Biden,4148322,20
Indiana,Donald Trump,1729101,11
Iowa,Donald Trump,897149,6
Kansas,Donald Trump,753370,6
Kentucky,Donald Trump,1326347,8
Louisiana,Donald Trump,1255776,8
Maine,Joe Biden,420357,4
Maryland,Joe Biden,1872183,10
Massachusetts,Joe Biden,2271849,11
Michigan,Joe Biden,2795975,16
Minnesota,Joe Biden,1718739,10
Mississippi,Donald Trump,705894,6
Missouri,Donald Trump,1711848,10
Montana,Donald Trump,343590,3
Nebraska,Donald Trump,553781,5
Nevada,Joe Biden,675224,6
New Hampshire,Joe Biden,424937,4
New Jersey,Joe Biden,2389584,14
New Mexico,Joe Biden,499688,5
New York,Joe Biden,3754965,29
North Carolina,Donald Trump,2754822,15
North Dakota,Donald Trump,235585,3
Ohio,Donald Trump,3074400,18
Oklahoma,Donald Trump,1020280,7
Oregon,Joe Biden,1333012,7
Pennsylvania,Joe Biden,3412806,20
Rhode Island,Joe Biden,306192,4
South Carolina,Donald Trump,1385103,9
South Dakota,Donald Trump,261043,3
Tennessee,Donald Trump,1849820,11
Texas,Donald Trump,5866019,38
Utah,Donald Trump,848863,6
Vermont,Joe Biden,242841,3
Virginia,Joe Biden,2413317,13
Washington,Joe Biden,2356584,12
West Virginia,Donald Trump,544826,5
Wisconsin,Joe Biden,1630619,10
Wyoming,Donald Trump,193559,3
